Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
191800,200000,FIXED,INTER-SATELLITE,MOBILE,MOBILE-SATELLITE,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
200000,209000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
209000,217000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,,,,
217000,226000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,
226000,231500,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
231500,232000,FIXED,MOBILE,,,,,,
232000,235000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,,,,,
235000,238000,EARTH EXPLORATION-SATELLITE (PASSIVE),FIXED-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (PASSIVE),,,,,
238000,240000,FIXED,FIXED-SATELLITE (SPACE-TO-EARTH),MOBILE,RADIOLOCATION,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
240000,241000,FIXED,MOBILE,RADIOLOCATION,,,,,
241000,248000,RADIO ASTRONOMY,RADIOLOCATION,,,,,,
248000,250000,AMATEUR,AMATEUR-SATELLITE,,,,,,
250000,252000,EARTH EXPLORATION-SATELLITE (PASSIVE),RADIO ASTRONOMY,SPACE RESEARCH (PASSIVE),,,,,
252000,265000,FIXED,MOBILE,MOBILE-SATELLITE (EARTH-TO-SPACE),RADIO ASTRONOMY,RADIONAVIGATION,RADIONAVIGATION-SATELLITE,,
265000,275000,FIXED,FIXED-SATELLITE (EARTH-TO-SPACE),MOBILE,RADIO ASTRONOMY,,,,
275000,3.00E+06,,,,,,,,
